cpa,2022_constant_dollars_median_income
Barrio Logan,42722
Black Mountain Ranch,209826
Carmel Mountain Ranch,126386
Carmel Valley,194286
Mid-City:City Heights,50241
Clairemont Mesa,110607
College Area,60315
Del Mar Mesa,206548
Downtown,89534
East Elliott,
Mid-City:Eastern Area,67313
Encanto Neighborhoods,69406
Fairbanks Country Club,231818
Greater Golden Hill,77606
Kearny Mesa,107521
Mid-City:Kensington-Talmadge,108192
La Jolla,175114
Linda Vista,80364
Midway-Pacific Highway,72429
Mira Mesa,119393
Miramar Ranch North,173605
Mission Beach,89264
Mission Valley,94918
Navajo,118265
Mid-City:Normal Heights,82507
NCFUA Subarea Ii,188889
North Park,88680
Ocean Beach,90814
Old San Diego,70875
Otay Mesa,101536
Otay Mesa-Nestor,69914
Pacific Beach,108052
Pacific Highlands Ranch,213676
Peninsula ,120122
Rancho Bernardo,126118
Rancho Encantada,233480
Rancho Penasquitos,151896
Sabre Springs ,141285
San Pasqual ,165385
San Ysidro,59253
Scripps Miramar Ranch,172046
Serra Mesa,102086
Skyline-Paradise Hills ,87243
Southeastern San Diego,52775
Tierrasanta,110483
Tijuana River Valley,85000
Torrey Highlands,185768
Torrey Hills,177636
Torrey Pines,221596
University,95863
Uptown,98836
Via De La Valle,212000
